group_id,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
3110,115.75,328.0,474.0,,0.0,,14.0,16.0,1903.5,72.0,14.75,502.75,17.0,19.25,202005091400,202005091500,583.75,522.0,2893.25,3477.0,17,15
3111,115.0,358.25,459.5,,0.0,,13.75,16.0,1901.5,72.0,14.25,306.75,17.75,20.25,202005091500,202005091600,388.75,327.0,2906.25,3295.0,12,10
3112,115.0,353.25,484.75,,0.0,,14.0,16.0,1900.75,67.0,13.75,108.75,17.25,20.5,202005091600,202005091700,190.25,129.25,2920.75,3111.0,6,4
3113,112.0,332.75,491.0,,0.0,,14.0,16.0,1900.5,67.0,13.5,21.5,18.0,21.75,202005091700,202005091800,104.75,43.25,2903.25,3008.0,3,1
3114,114.0,328.75,513.0,,,,14.0,16.0,1900.25,67.0,14.0,0.0,17.0,29.25,202005091800,202005091900,90.25,29.25,2923.0,3013.25,3,1
3115,111.25,373.75,527.75,,,,14.0,15.25,1899.25,67.0,13.5,0.0,17.25,32.0,202005091900,202005092000,92.0,32.0,2979.0,3071.0,3,1
3116,116.0,347.25,543.75,,0.0,,13.75,15.0,1898.0,67.0,12.75,0.0,17.75,27.5,202005092000,202005092100,86.75,27.5,2972.0,3058.75,3,1
3117,117.5,310.5,491.5,,0.0,,13.0,15.0,1898.0,66.0,12.25,0.0,17.0,74.5,202005092100,202005092200,131.75,74.5,2883.5,3015.25,4,2
3118,115.0,296.0,494.5,,0.0,,13.0,15.0,1899.5,65.0,13.0,0.0,17.75,91.0,202005092200,202005092300,149.75,91.0,2870.0,3019.75,5,3
3119,116.5,284.25,493.25,,0.0,,13.0,15.0,1899.5,65.0,12.75,0.0,17.5,111.75,202005092300,202005100000,170.0,111.75,2858.5,3028.5,6,4
3120,112.75,261.25,478.0,,0.0,,12.75,15.0,1900.0,64.0,10.5,0.0,17.0,117.5,202005100000,202005100100,172.75,117.5,2816.0,2988.75,6,4
3121,90.0,225.0,439.75,,0.0,,13.0,15.0,1899.5,65.0,8.0,0.0,18.0,112.0,202005100100,202005100200,166.0,112.0,2719.25,2885.25,6,4
3122,87.5,223.0,448.75,,0.0,,13.0,15.0,1899.75,64.0,8.25,0.0,17.75,86.5,202005100200,202005100300,140.5,86.5,2723.0,2863.5,5,3
3123,85.75,220.0,438.0,,0.0,,13.0,15.0,1900.25,64.0,9.0,11.25,17.0,68.0,202005100300,202005100400,133.25,79.25,2708.0,2841.25,5,3
3124,90.75,220.5,444.75,,,,13.0,15.0,1901.0,66.0,9.75,84.75,16.25,48.5,202005100400,202005100500,187.25,133.25,2723.0,2910.25,6,5
3125,103.75,245.0,448.5,,0.0,,14.0,15.0,1901.0,66.0,13.0,240.25,17.0,29.25,202005100500,202005100600,328.5,269.5,2764.25,3092.75,11,9
3126,116.75,282.0,454.5,,0.0,,14.0,13.0,1901.0,67.0,13.25,450.75,16.75,19.0,202005100600,202005100700,526.75,469.75,2821.25,3348.0,16,14
