,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
133,332.0,8117.0,352.0,202.0,48.0,4650.0,2158.0,52586.0,2758.0,210.0,3302.0,202001061300,202001061400,13126.0,6060.0,61589.0,74715.0,18,8
134,333.0,8210.0,374.0,202.0,82.0,4811.0,2298.0,52554.0,1706.0,210.0,3225.0,202001061400,202001061500,12332.0,4931.0,61673.0,74005.0,17,7
135,333.0,8185.0,339.0,202.0,194.0,5016.0,2549.0,52563.0,568.0,209.0,3655.0,202001061500,202001061600,12191.0,4223.0,61622.0,73813.0,17,6
136,333.0,8456.0,213.0,201.0,1158.0,5714.0,3737.0,52587.0,138.0,214.0,4521.0,202001061600,202001061700,15482.0,4659.0,61790.0,77272.0,20,6
137,333.0,8457.0,14.0,202.0,1972.0,6196.0,5540.0,52478.0,0.0,216.0,4850.0,202001061700,202001061800,18774.0,4850.0,61484.0,80258.0,23,6
138,332.0,8439.0,7.0,201.0,2922.0,6487.0,5253.0,52368.0,0.0,216.0,5074.0,202001061800,202001061900,19952.0,5074.0,61347.0,81299.0,25,6
139,333.0,8344.0,11.0,201.0,1626.0,6386.0,3482.0,52308.0,0.0,215.0,5690.0,202001061900,202001062000,17399.0,5690.0,61197.0,78596.0,22,7
140,333.0,8143.0,11.0,201.0,349.0,5859.0,2366.0,52306.0,0.0,217.0,5867.0,202001062000,202001062100,14658.0,5867.0,60994.0,75652.0,19,8
141,334.0,8064.0,17.0,201.0,333.0,5451.0,1736.0,52359.0,0.0,222.0,5415.0,202001062100,202001062200,13157.0,5415.0,60975.0,74132.0,18,7
142,334.0,8067.0,17.0,201.0,446.0,5065.0,1437.0,52041.0,0.0,221.0,5286.0,202001062200,202001062300,12455.0,5286.0,60660.0,73115.0,17,7
143,333.0,7003.0,22.0,201.0,,4371.0,1093.0,51727.0,0.0,221.0,4916.0,202001062300,202001070000,10601.0,4916.0,59286.0,69887.0,15,7
144,332.0,6484.0,43.0,200.0,,4148.0,856.0,51320.0,0.0,221.0,4683.0,202001070000,202001070100,9908.0,4683.0,58379.0,68287.0,15,7
145,333.0,6243.0,44.0,200.0,,4070.0,752.0,51011.0,0.0,220.0,4131.0,202001070100,202001070200,9173.0,4131.0,57831.0,67004.0,14,6
146,333.0,6055.0,44.0,197.0,,3945.0,617.0,50617.0,0.0,221.0,3718.0,202001070200,202001070300,8501.0,3718.0,57246.0,65747.0,13,6
147,333.0,5854.0,45.0,197.0,,3966.0,728.0,50210.0,0.0,222.0,3421.0,202001070300,202001070400,8337.0,3421.0,56639.0,64976.0,13,5
148,333.0,6893.0,45.0,197.0,,4117.0,939.0,50940.0,0.0,217.0,3176.0,202001070400,202001070500,8449.0,3176.0,58408.0,66857.0,13,5
149,334.0,8207.0,44.0,200.0,,4661.0,1937.0,51745.0,0.0,220.0,3041.0,202001070500,202001070600,9859.0,3041.0,60530.0,70389.0,14,4
150,335.0,8414.0,44.0,200.0,1352.0,5515.0,4392.0,52005.0,0.0,219.0,2900.0,202001070600,202001070700,14378.0,2900.0,60998.0,75376.0,19,4
151,333.0,8376.0,45.0,201.0,2416.0,6177.0,5619.0,52064.0,164.0,221.0,2953.0,202001070700,202001070800,17550.0,3117.0,61019.0,78569.0,22,4
152,332.0,8414.0,45.0,201.0,2730.0,6494.0,5396.0,52106.0,465.0,221.0,2941.0,202001070800,202001070900,18247.0,3406.0,61098.0,79345.0,23,4
153,332.0,8442.0,45.0,201.0,2902.0,6468.0,5385.0,52150.0,1049.0,221.0,2915.0,202001070900,202001071000,18940.0,3964.0,61170.0,80110.0,24,5
154,333.0,8376.0,45.0,200.0,2665.0,6342.0,5188.0,52210.0,1549.0,222.0,2899.0,202001071000,202001071100,18865.0,4448.0,61164.0,80029.0,24,6
155,333.0,8293.0,44.0,201.0,2372.0,6078.0,4870.0,52298.0,1937.0,221.0,2995.0,202001071100,202001071200,18473.0,4932.0,61169.0,79642.0,23,6
156,333.0,8335.0,45.0,201.0,1566.0,5837.0,4374.0,52246.0,2033.0,221.0,3077.0,202001071200,202001071300,17108.0,5110.0,61160.0,78268.0,22,7
157,332.0,8389.0,44.0,201.0,1050.0,5439.0,4248.0,52207.0,1681.0,219.0,3227.0,202001071300,202001071400,15864.0,4908.0,61173.0,77037.0,21,6
158,333.0,8418.0,45.0,201.0,718.0,5330.0,4165.0,52216.0,985.0,221.0,3539.0,202001071400,202001071500,14958.0,4524.0,61213.0,76171.0,20,6
159,330.0,8405.0,45.0,201.0,624.0,5551.0,4128.0,52247.0,400.0,220.0,3833.0,202001071500,202001071600,14756.0,4233.0,61228.0,75984.0,19,6
