,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
119,335.0,1393.0,0.0,1414.0,2178.0,922.0,24.0,0.0,,83.0,202001052300,202001060000,4597.0,83.0,1752.0,6349.0,72,1
120,336.0,1107.0,0.0,48.0,1997.0,437.0,24.0,0.0,,77.0,202001060000,202001060100,2559.0,77.0,1467.0,4026.0,64,2
121,334.0,896.0,0.0,0.0,2013.0,412.0,24.0,0.0,,107.0,202001060100,202001060200,2532.0,107.0,1254.0,3786.0,67,3
122,334.0,913.0,0.0,0.0,1855.0,434.0,25.0,0.0,,67.0,202001060200,202001060300,2356.0,67.0,1272.0,3628.0,65,2
123,335.0,951.0,0.0,0.0,1858.0,438.0,27.0,0.0,,95.0,202001060300,202001060400,2391.0,95.0,1313.0,3704.0,65,3
124,336.0,1069.0,0.0,0.0,1726.0,438.0,31.0,0.0,,100.0,202001060400,202001060500,2264.0,100.0,1436.0,3700.0,61,3
125,340.0,1366.0,0.0,86.0,1725.0,504.0,31.0,0.0,,77.0,202001060500,202001060600,2392.0,77.0,1737.0,4129.0,58,2
126,343.0,1780.0,0.0,192.0,1918.0,805.0,32.0,0.0,,70.0,202001060600,202001060700,2985.0,70.0,2155.0,5140.0,58,1
127,331.0,2504.0,0.0,1440.0,1962.0,1059.0,32.0,0.0,,62.0,202001060700,202001060800,4523.0,62.0,2867.0,7390.0,61,1
128,332.0,3015.0,0.0,1253.0,2014.0,1075.0,32.0,63.0,,69.0,202001060800,202001060900,4474.0,132.0,3379.0,7853.0,57,2
129,332.0,3371.0,0.0,422.0,2028.0,718.0,31.0,250.0,,117.0,202001060900,202001061000,3535.0,367.0,3734.0,7269.0,49,5
130,327.0,3501.0,0.0,209.0,1940.0,533.0,34.0,389.0,,112.0,202001061000,202001061100,3183.0,501.0,3862.0,7045.0,45,7
131,320.0,3461.0,0.0,33.0,1820.0,507.0,34.0,444.0,,46.0,202001061100,202001061200,2850.0,490.0,3815.0,6665.0,43,7
132,337.0,3228.0,0.0,28.0,1629.0,484.0,36.0,455.0,,46.0,202001061200,202001061300,2642.0,501.0,3601.0,6243.0,42,8
133,333.0,3004.0,0.0,28.0,1487.0,452.0,36.0,432.0,,57.0,202001061300,202001061400,2456.0,489.0,3373.0,5829.0,42,8
134,327.0,3334.0,22.0,28.0,1626.0,517.0,34.0,373.0,,58.0,202001061400,202001061500,2602.0,431.0,3717.0,6319.0,41,7
135,334.0,3387.0,95.0,123.0,1869.0,678.0,37.0,281.0,,60.0,202001061500,202001061600,3011.0,341.0,3853.0,6864.0,44,5
136,331.0,3464.0,132.0,429.0,2164.0,1168.0,36.0,111.0,,92.0,202001061600,202001061700,3964.0,203.0,3963.0,7927.0,50,3
137,330.0,3451.0,165.0,1259.0,2260.0,1221.0,35.0,5.0,,158.0,202001061700,202001061800,4903.0,163.0,3981.0,8884.0,55,2
138,333.0,3324.0,229.0,1163.0,2288.0,1227.0,36.0,0.0,,218.0,202001061800,202001061900,4896.0,218.0,3922.0,8818.0,56,2
139,327.0,3393.0,263.0,1914.0,2301.0,1234.0,35.0,0.0,,229.0,202001061900,202001062000,5678.0,229.0,4018.0,9696.0,59,2
140,325.0,3374.0,289.0,1896.0,2253.0,1222.0,34.0,0.0,,246.0,202001062000,202001062100,5617.0,246.0,4022.0,9639.0,58,3
141,323.0,3310.0,289.0,1694.0,2231.0,881.0,33.0,0.0,,231.0,202001062100,202001062200,5037.0,231.0,3955.0,8992.0,56,3
142,314.0,2988.0,285.0,774.0,2178.0,669.0,32.0,0.0,,232.0,202001062200,202001062300,3853.0,232.0,3619.0,7472.0,52,3
143,315.0,2178.0,284.0,323.0,2206.0,581.0,33.0,0.0,,187.0,202001062300,202001070000,3297.0,187.0,2810.0,6107.0,54,3
144,316.0,1601.0,232.0,53.0,2013.0,448.0,36.0,0.0,,164.0,202001070000,202001070100,2678.0,164.0,2185.0,4863.0,55,3
145,313.0,1531.0,100.0,0.0,1897.0,447.0,36.0,0.0,,147.0,202001070100,202001070200,2491.0,147.0,1980.0,4471.0,56,3
146,317.0,1563.0,100.0,0.0,1733.0,442.0,36.0,0.0,,125.0,202001070200,202001070300,2300.0,125.0,2016.0,4316.0,53,3
147,319.0,1578.0,100.0,0.0,1719.0,442.0,33.0,0.0,,109.0,202001070300,202001070400,2270.0,109.0,2030.0,4300.0,53,3
148,322.0,1530.0,108.0,0.0,1724.0,439.0,33.0,0.0,,101.0,202001070400,202001070500,2264.0,101.0,1993.0,4257.0,53,2
149,324.0,2157.0,189.0,220.0,2075.0,461.0,34.0,0.0,,95.0,202001070500,202001070600,2851.0,95.0,2704.0,5555.0,51,2
150,325.0,2879.0,280.0,1393.0,2164.0,872.0,32.0,0.0,,79.0,202001070600,202001070700,4508.0,79.0,3516.0,8024.0,56,1
151,328.0,3303.0,289.0,1589.0,2181.0,1066.0,33.0,1.0,,76.0,202001070700,202001070800,4913.0,77.0,3953.0,8866.0,55,1
152,331.0,3436.0,318.0,1463.0,2169.0,1090.0,34.0,73.0,,103.0,202001070800,202001070900,4898.0,176.0,4119.0,9017.0,54,2
153,337.0,3413.0,410.0,1577.0,2169.0,1174.0,35.0,250.0,,120.0,202001070900,202001071000,5290.0,370.0,4195.0,9485.0,56,4
154,334.0,3484.0,503.0,1570.0,2170.0,1176.0,36.0,379.0,,79.0,202001071000,202001071100,5374.0,458.0,4357.0,9731.0,55,5
155,336.0,3420.0,574.0,1611.0,2158.0,1108.0,36.0,450.0,,35.0,202001071100,202001071200,5362.0,485.0,4366.0,9728.0,55,5
156,345.0,3502.0,498.0,1712.0,2197.0,819.0,35.0,475.0,,20.0,202001071200,202001071300,5223.0,495.0,4380.0,9603.0,54,5
157,348.0,3433.0,505.0,417.0,2039.0,509.0,35.0,466.0,,30.0,202001071300,202001071400,3461.0,496.0,4321.0,7782.0,44,6
158,351.0,3506.0,464.0,350.0,1981.0,511.0,35.0,419.0,,42.0,202001071400,202001071500,3303.0,461.0,4356.0,7659.0,43,6
159,350.0,3648.0,452.0,373.0,2040.0,512.0,36.0,316.0,,55.0,202001071500,202001071600,3296.0,371.0,4486.0,7782.0,42,5
160,356.0,3701.0,381.0,1356.0,2210.0,527.0,35.0,128.0,,88.0,202001071600,202001071700,4309.0,216.0,4473.0,8782.0,49,2
161,365.0,3667.0,397.0,1657.0,2285.0,835.0,35.0,6.0,,159.0,202001071700,202001071800,4942.0,165.0,4464.0,9406.0,53,2
162,372.0,3650.0,632.0,1708.0,2330.0,1186.0,35.0,0.0,,253.0,202001071800,202001071900,5477.0,253.0,4689.0,10166.0,54,2
163,379.0,3587.0,764.0,1666.0,2314.0,1169.0,36.0,0.0,,330.0,202001071900,202001072000,5479.0,330.0,4766.0,10245.0,53,3
164,377.0,3597.0,795.0,1535.0,2241.0,1164.0,35.0,0.0,,401.0,202001072000,202001072100,5341.0,401.0,4804.0,10145.0,53,4
165,380.0,3405.0,699.0,1085.0,2187.0,836.0,35.0,0.0,,430.0,202001072100,202001072200,4538.0,430.0,4519.0,9057.0,50,5
166,374.0,2618.0,564.0,806.0,2174.0,774.0,34.0,0.0,,444.0,202001072200,202001072300,4198.0,444.0,3590.0,7788.0,54,6
167,373.0,1774.0,533.0,300.0,2059.0,506.0,34.0,0.0,,481.0,202001072300,202001080000,3346.0,481.0,2714.0,6060.0,55,8
168,368.0,1545.0,284.0,0.0,1738.0,439.0,34.0,0.0,,490.0,202001080000,202001080100,2667.0,490.0,2231.0,4898.0,54,10
169,368.0,1418.0,203.0,0.0,1650.0,442.0,36.0,0.0,,411.0,202001080100,202001080200,2503.0,411.0,2025.0,4528.0,55,9
170,370.0,1397.0,201.0,0.0,1616.0,442.0,35.0,0.0,,504.0,202001080200,202001080300,2562.0,504.0,2003.0,4565.0,56,11
171,372.0,1416.0,199.0,0.0,1471.0,441.0,36.0,0.0,,666.0,202001080300,202001080400,2578.0,666.0,2023.0,4601.0,56,14
172,372.0,1432.0,200.0,0.0,1461.0,441.0,35.0,0.0,,836.0,202001080400,202001080500,2738.0,836.0,2039.0,4777.0,57,18
173,374.0,1636.0,305.0,4.0,1499.0,443.0,36.0,0.0,,1011.0,202001080500,202001080600,2957.0,1011.0,2351.0,5308.0,56,19
174,367.0,2367.0,357.0,488.0,1917.0,582.0,33.0,0.0,,1169.0,202001080600,202001080700,4156.0,1169.0,3124.0,7280.0,57,16
